sentence_id,oci_baseline,oci_fewshot,oci_instruction,oci_role
A.dev.gold.bea19_000054,0.29635646952789374,0.26933542310775216,0.26933542310775216,0.26933542310775216
A.dev.gold.bea19_000075,0.09459730946655552,0.03125,0.03125,0.03125
A.dev.gold.bea19_000222,0.3497014096775776,0.3497014096775776,0.3497014096775776,0.3497014096775776
A.dev.gold.bea19_000283,0.34869945326550406,0.2482346215925395,0.2615593142904262,0.2482346215925395
A.dev.gold.bea19_000426,0.2704334608909926,0.20982142857142863,0.32058974318936534,0.32058974318936534
A.dev.gold.bea19_000465,0.046875,0.046875,0.046875,0.046875
A.dev.gold.bea19_000727,0.03125,0.03125,0.03125,0.03125
A.dev.gold.bea19_000852,0.03125,0.03125,0.03125,0.03125
A.dev.gold.bea19_000943,0.07392755925798694,0.07392755925798694,0.015625,0.07392755925798694
A.dev.gold.bea19_001026,0.15224725570719216,0.15224725570719216,0.15224725570719216,0.15224725570719216
B.dev.gold.bea19_000188,0.046875,0.046875,0.03125,0.046875
B.dev.gold.bea19_000520,0.046875,0.046875,0.046875,0.046875
B.dev.gold.bea19_000601,0.15214713075199157,0.14389875840408298,0.14389875840408298,0.14389875840408298
B.dev.gold.bea19_000729,0.1439904671934043,0.1439904671934043,0.078125,0.1439904671934043
B.dev.gold.bea19_001061,0.23262283427156175,0.22026685832936255,0.22026685832936255,0.22026685832936255
B.dev.gold.bea19_001215,0.09375,0.09375,0.09375,0.09375
C.dev.gold.bea19_000058,0.03125,0.03125,0.03125,0.03125
C.dev.gold.bea19_000173,0.07254809343868088,0.07254809343868088,0.07254809343868088,0.07254809343868088
C.dev.gold.bea19_000430,0.06690607590399235,0.05128107590399235,0.03125,0.05128107590399235
C.dev.gold.bea19_000478,0.109375,0.109375,0.109375,0.109375
C.dev.gold.bea19_000730,0.16651100709950756,0.15088600709950756,0.0625,0.16651100709950756
C.dev.gold.bea19_000742,0.14147087273318992,0.16418380397202795,0.14855880397202795,0.14855880397202795
C.dev.gold.bea19_000787,0.046875,0.046875,0.046875,0.046875
C.dev.gold.bea19_001054,0.0625,0.0625,0.0625,0.0625
A.train.gold.bea19_000184,0.03634561433642509,0.03634561433642509,0.03634561433642509,0.03634561433642509
A.train.gold.bea19_000231,0.050224364479560295,0.050224364479560295,0.050224364479560295,0.050224364479560295
A.train.gold.bea19_000468,0.28352341041816315,0.21474718599847423,0.09375,0.09375
A.train.gold.bea19_000898,0.2054603459463444,0.2054603459463444,0.1423610576410523,0.1423610576410523
A.train.gold.bea19_001516,0.279132918833438,0.19292002012072437,0.19292002012072437,0.18930074348530207
A.train.gold.bea19_001721,0.03125,0.03125,0.03125,0.03125
A.train.gold.bea19_002065,0.015625,0.015625,0.015625,0.015625
A.train.gold.bea19_002165,0.046875,0.06584936447956029,0.046875,0.06584936447956029
A.train.gold.bea19_002212,0.17577268253045478,0.16602424025775098,0.17860553801231402,0.1916652658987767
A.train.gold.bea19_002242,0.20856337984794693,0.18555825126913233,0.16993325126913233,0.18555825126913233
A.train.gold.bea19_002442,0.24544188599388705,0.24544188599388705,0.24544188599388705,0.24544188599388705
A.train.gold.bea19_002581,0.16963683910075275,0.1536430553797755,0.078125,0.1536430553797755
A.train.gold.bea19_002869,0.109375,0.109375,0.109375,0.109375
A.train.gold.bea19_003081,0.15836043143562026,0.15836043143562026,0.15836043143562026,0.15836043143562026
A.train.gold.bea19_003129,0.046875,0.046875,0.046875,0.046875
A.train.gold.bea19_003171,0.283714456918897,0.20146217733471106,0.20146217733471106,0.20146217733471106
A.train.gold.bea19_003686,0.10626819862263012,0.0801693079327231,0.0801693079327231,0.078125
A.train.gold.bea19_003978,0.06376495763197068,0.06376495763197068,0.06376495763197068,0.06376495763197068
A.train.gold.bea19_004039,0.19402155667544257,0.125,0.125,0.125
A.train.gold.bea19_004173,0.14484748940799266,0.125,0.12922248940799266,0.12922248940799266
A.train.gold.bea19_004193,0.11570873411198898,0.11570873411198898,0.11570873411198898,0.11570873411198898
A.train.gold.bea19_004446,0.15102459510267036,0.07289959510267037,0.05148135208144651,0.05148135208144651
A.train.gold.bea19_004659,0.17578125,0.14453125,0.16015625,0.14453125
A.train.gold.bea19_004742,0.18598260386413087,0.17035760386413087,0.17035760386413087,0.17035760386413087
A.train.gold.bea19_004781,0.046875,0.046875,0.046875,0.046875
A.train.gold.bea19_004970,0.03125,0.03125,0.03125,0.03125
A.train.gold.bea19_005021,0.078125,0.078125,0.078125,0.078125
A.train.gold.bea19_005139,0.078125,0.078125,0.078125,0.078125
A.train.gold.bea19_005536,0.2300660898543928,0.17911355327084458,0.15986927663542227,0.15986927663542227
A.train.gold.bea19_005546,0.26174583853968075,0.140625,0.140625,0.140625
A.train.gold.bea19_005594,0.14286465745693663,0.11161465745693663,0.14286465745693663,0.12723965745693663
A.train.gold.bea19_005622,0.046875,0.046875,0.046875,0.046875
A.train.gold.bea19_006064,0.08281707056827288,0.08281707056827288,0.08281707056827288,0.08281707056827288
A.train.gold.bea19_006295,0.10008373411198898,0.078125,0.078125,0.078125
A.train.gold.bea19_006419,0.06376495763197068,0.06376495763197068,0.046875,0.06376495763197068
A.train.gold.bea19_006456,0.23810870410740004,0.2736454510115894,0.2736454510115894,0.2736454510115894
A.train.gold.bea19_006556,0.046875,0.046875,0.046875,0.046875
A.train.gold.bea19_006629,0.13689014631023388,0.13689014631023388,0.13689014631023388,0.13689014631023388
A.train.gold.bea19_006649,0.23816327845119498,0.23816327845119498,0.23256041810403302,0.20691327845119498
A.train.gold.bea19_006680,0.0625,0.0625,0.0625,0.0625
A.train.gold.bea19_006908,0.078125,0.0625,0.0625,0.078125
A.train.gold.bea19_006953,0.109375,0.1656249999999999,0.1656249999999999,0.1656249999999999
A.train.gold.bea19_007290,0.03125,0.03125,0.03125,0.03125
A.train.gold.bea19_007356,0.07052669415985797,0.07052669415985797,0.07052669415985797,0.07052669415985797
A.train.gold.bea19_007639,0.11890320582028766,0.0930178632772243,0.0887381197755639,0.0887381197755639
A.train.gold.bea19_007798,0.13003836024275733,0.11109262281003095,0.11109262281003095,0.11109262281003095
A.train.gold.bea19_007871,0.2696451978882279,0.2137162808903054,0.2137162808903054,0.2137162808903054
A.train.gold.bea19_007945,0.33068651654940723,0.078125,0.0625,0.0625
A.train.gold.bea19_007980,0.046875,0.046875,0.046875,0.046875
A.train.gold.bea19_008035,0.10252758065901309,0.10252758065901309,0.10252758065901309,0.10252758065901309
A.train.gold.bea19_008063,0.2950858811405016,0.25570494413991907,0.19899298761817982,0.19899298761817982
A.train.gold.bea19_008080,0.046875,0.046875,0.046875,0.046875
A.train.gold.bea19_008135,0.03125,0.03125,0.03125,0.03125
A.train.gold.bea19_008251,0.0625,0.0625,0.0625,0.0625
A.train.gold.bea19_008269,0.24484684143091906,0.211983592304268,0.18665540540540548,0.18665540540540548
A.train.gold.bea19_008322,0.19899782564566992,0.19899782564566992,0.1367587150687795,0.19899782564566992
A.train.gold.bea19_008472,0.28945522729875195,0.2552504022467095,0.24073648950194823,0.24073648950194823
